id,clientId,claimType,claimAmount,submissionDate,claimStatus,claimProbability,fraudLikelihoodScore,isFraudFlagged,supportingDocuments
CL0226,C103,Motor Vehicle Accident,38350.87,2023-06-02,Pending,9,56,False,"['CL0226_1_doc.pdf', 'CL0226_2_doc.pdf']"
CL0227,C104,Commercial Dispute,36756.67,2024-05-16,Pending,62,37,False,['CL0227_1_doc.pdf']
CL0228,C105,Property Damage,35492.39,2023-10-30,Rejected,36,13,False,"['CL0228_1_doc.pdf', 'CL0228_2_doc.pdf']"
CL0229,C106,Family Law,46412.09,2023-06-23,Rejected,95,72,False,['CL0229_1_doc.pdf']
CL0230,C106,Motor Vehicle Accident,1672.08,2023-08-23,Pending,4,62,False,"['CL0230_1_doc.pdf', 'CL0230_2_doc.pdf', 'CL0230_3_doc.pdf']"
CL0231,C107,Commercial Dispute,4399.16,2023-11-01,Rejected,24,11,False,"['CL0231_1_doc.pdf', 'CL0231_2_doc.pdf', 'CL0231_3_doc.pdf']"
CL0232,C107,Personal Injury,15983.19,2023-09-11,Rejected,31,19,False,['CL0232_1_doc.pdf']
CL0233,C107,Motor Vehicle Accident,13946.61,2023-12-02,Approved,60,58,False,[]
CL0234,C108,Property Damage,39588.8,2023-06-29,Pending,72,90,False,"['CL0234_1_doc.pdf', 'CL0234_2_doc.pdf', 'CL0234_3_doc.pdf']"
CL0235,C108,Personal Injury,28156.21,2023-09-27,Approved,94,58,False,"['CL0235_1_doc.pdf', 'CL0235_2_doc.pdf', 'CL0235_3_doc.pdf']"
CL0236,C108,Personal Injury,46296.69,2024-02-12,Approved,75,25,False,['CL0236_1_doc.pdf']
CL0237,C108,Debt Collection,10396.72,2023-07-03,Approved,86,68,False,"['CL0237_1_doc.pdf', 'CL0237_2_doc.pdf', 'CL0237_3_doc.pdf']"
CL0238,C109,Employment Dispute,27485.42,2024-02-24,Pending,44,5,False,[]
CL0239,C109,Motor Vehicle Accident,18191.21,2024-01-04,Approved,5,83,False,"['CL0239_1_doc.pdf', 'CL0239_2_doc.pdf', 'CL0239_3_doc.pdf']"
CL0240,C109,Medical Malpractice,17535.83,2023-06-19,Approved,65,71,False,"['CL0240_1_doc.pdf', 'CL0240_2_doc.pdf', 'CL0240_3_doc.pdf']"
CL0241,C111,Medical Malpractice,49168.19,2024-01-07,Rejected,2,64,False,"['CL0241_1_doc.pdf', 'CL0241_2_doc.pdf', 'CL0241_3_doc.pdf']"
CL0242,C111,Commercial Dispute,20388.9,2023-08-04,Pending,78,9,False,"['CL0242_1_doc.pdf', 'CL0242_2_doc.pdf', 'CL0242_3_doc.pdf']"
CL0243,C113,Debt Collection,14110.1,2024-02-20,Pending,85,74,False,"['CL0243_1_doc.pdf', 'CL0243_2_doc.pdf', 'CL0243_3_doc.pdf']"
CL0244,C113,Property Damage,25478.81,2024-04-10,Rejected,9,33,False,[]
CL0245,C113,Personal Injury,32991.6,2023-08-03,Rejected,0,46,False,"['CL0245_1_doc.pdf', 'CL0245_2_doc.pdf', 'CL0245_3_doc.pdf']"
CL0246,C113,Medical Malpractice,616.9,2023-10-23,Rejected,64,18,False,"['CL0246_1_doc.pdf', 'CL0246_2_doc.pdf']"
CL0247,C115,Motor Vehicle Accident,38848.03,2023-12-15,Rejected,48,65,False,[]
CL0248,C116,Debt Collection,49769.64,2023-10-19,Approved,35,64,False,['CL0248_1_doc.pdf']
CL0249,C116,Personal Injury,44004.48,2023-06-27,Pending,2,80,False,"['CL0249_1_doc.pdf', 'CL0249_2_doc.pdf']"
CL0250,C116,Family Law,10949.61,2023-07-06,Pending,19,8,False,"['CL0250_1_doc.pdf', 'CL0250_2_doc.pdf', 'CL0250_3_doc.pdf']"
CL0251,C116,Debt Collection,42913.99,2023-07-03,Rejected,18,83,False,[]
CL0252,C117,Personal Injury,32104.1,2023-10-13,Pending,27,56,False,"['CL0252_1_doc.pdf', 'CL0252_2_doc.pdf']"
CL0253,C118,Family Law,31895.96,2023-07-15,Rejected,61,94,False,"['CL0253_1_doc.pdf', 'CL0253_2_doc.pdf', 'CL0253_3_doc.pdf']"
CL0254,C118,Employment Dispute,10312.88,2023-07-29,Pending,52,95,False,[]
CL0255,C118,Property Damage,18163.65,2023-11-11,Rejected,20,62,False,['CL0255_1_doc.pdf']
CL0256,C118,Family Law,927.29,2023-07-19,Approved,81,47,False,"['CL0256_1_doc.pdf', 'CL0256_2_doc.pdf']"
CL0257,C120,Personal Injury,45395.41,2024-03-15,Pending,91,0,False,"['CL0257_1_doc.pdf', 'CL0257_2_doc.pdf']"
CL0258,C120,Employment Dispute,18461.28,2024-04-20,Rejected,89,17,False,"['CL0258_1_doc.pdf', 'CL0258_2_doc.pdf']"
CL0259,C120,Motor Vehicle Accident,26835.8,2023-09-28,Pending,94,17,False,"['CL0259_1_doc.pdf', 'CL0259_2_doc.pdf']"
CL0260,C120,Motor Vehicle Accident,2367.74,2023-06-29,Approved,67,42,False,[]
CL0261,C121,Debt Collection,34637.72,2024-01-27,Rejected,67,67,False,[]
CL0262,C121,Debt Collection,42126.38,2023-06-02,Rejected,34,14,False,[]
CL0263,C121,Employment Dispute,30470.7,2023-09-09,Approved,67,71,False,"['CL0263_1_doc.pdf', 'CL0263_2_doc.pdf', 'CL0263_3_doc.pdf']"
CL0264,C121,Medical Malpractice,31579.15,2023-06-18,Rejected,85,92,False,[]
CL0265,C122,Motor Vehicle Accident,15199.58,2023-11-10,Approved,58,82,False,['CL0265_1_doc.pdf']
CL0266,C122,Medical Malpractice,21736.2,2023-11-25,Approved,91,58,False,[]
CL0267,C123,Property Damage,32214.78,2023-10-07,Pending,64,39,False,[]
CL0268,C123,Property Damage,19030.19,2023-06-29,Pending,69,45,False,['CL0268_1_doc.pdf']
CL0269,C123,Employment Dispute,17020.17,2024-02-02,Approved,46,59,False,"['CL0269_1_doc.pdf', 'CL0269_2_doc.pdf', 'CL0269_3_doc.pdf']"
CL0270,C124,Family Law,41135.47,2024-02-23,Pending,43,4,False,"['CL0270_1_doc.pdf', 'CL0270_2_doc.pdf', 'CL0270_3_doc.pdf']"
CL0271,C124,Commercial Dispute,35448.88,2023-06-18,Approved,21,74,False,[]
CL0272,C124,Employment Dispute,16441.65,2023-11-05,Rejected,43,44,False,"['CL0272_1_doc.pdf', 'CL0272_2_doc.pdf', 'CL0272_3_doc.pdf']"
CL0273,C127,Personal Injury,43446.18,2023-08-04,Rejected,48,84,True,[]
CL0274,C127,Medical Malpractice,37712.56,2024-05-05,Approved,56,83,False,['CL0274_1_doc.pdf']
CL0275,C127,Commercial Dispute,8257.14,2024-03-12,Pending,52,34,False,"['CL0275_1_doc.pdf', 'CL0275_2_doc.pdf']"
CL0276,C129,Motor Vehicle Accident,26729.49,2024-04-23,Pending,65,69,False,"['CL0276_1_doc.pdf', 'CL0276_2_doc.pdf']"
CL0277,C129,Commercial Dispute,9282.91,2023-06-15,Pending,35,6,False,"['CL0277_1_doc.pdf', 'CL0277_2_doc.pdf']"
CL0278,C130,Commercial Dispute,19757.64,2023-07-28,Rejected,37,91,False,[]
CL0279,C130,Employment Dispute,6378.85,2023-12-24,Rejected,13,76,False,['CL0279_1_doc.pdf']
CL0280,C130,Personal Injury,42234.4,2023-10-21,Pending,93,19,False,"['CL0280_1_doc.pdf', 'CL0280_2_doc.pdf', 'CL0280_3_doc.pdf']"
CL0281,C132,Motor Vehicle Accident,34901.24,2024-02-04,Rejected,42,28,True,"['CL0281_1_doc.pdf', 'CL0281_2_doc.pdf']"
CL0282,C132,Motor Vehicle Accident,44378.37,2023-06-23,Approved,97,23,False,"['CL0282_1_doc.pdf', 'CL0282_2_doc.pdf']"
CL0283,C132,Employment Dispute,37174.81,2024-04-01,Approved,26,69,False,['CL0283_1_doc.pdf']
CL0284,C132,Motor Vehicle Accident,21843.56,2023-08-02,Pending,30,79,False,[]
CL0285,C133,Property Damage,11277.29,2024-04-12,Pending,71,70,False,[]
CL0286,C133,Personal Injury,5065.12,2023-09-19,Approved,45,48,False,"['CL0286_1_doc.pdf', 'CL0286_2_doc.pdf', 'CL0286_3_doc.pdf']"
CL0287,C134,Property Damage,3767.87,2024-04-12,Rejected,49,24,True,"['CL0287_1_doc.pdf', 'CL0287_2_doc.pdf']"
CL0288,C134,Family Law,42613.77,2023-11-11,Approved,28,29,False,['CL0288_1_doc.pdf']
CL0289,C135,Motor Vehicle Accident,25675.84,2023-11-21,Approved,94,27,False,['CL0289_1_doc.pdf']
CL0290,C135,Employment Dispute,47532.21,2023-07-21,Rejected,90,65,False,['CL0290_1_doc.pdf']
CL0291,C135,Employment Dispute,45771.22,2023-08-04,Pending,100,29,False,[]
CL0292,C136,Debt Collection,35912.4,2023-09-15,Rejected,32,53,False,['CL0292_1_doc.pdf']
CL0293,C137,Employment Dispute,5373.41,2023-09-06,Approved,19,81,False,"['CL0293_1_doc.pdf', 'CL0293_2_doc.pdf']"
CL0294,C138,Commercial Dispute,20375.19,2024-01-01,Rejected,50,43,True,"['CL0294_1_doc.pdf', 'CL0294_2_doc.pdf']"
CL0295,C138,Motor Vehicle Accident,47130.99,2023-11-06,Approved,86,62,True,[]
CL0296,C138,Debt Collection,44552.43,2024-04-15,Rejected,41,90,False,['CL0296_1_doc.pdf']
CL0297,C139,Motor Vehicle Accident,29840.41,2023-06-10,Pending,41,74,False,"['CL0297_1_doc.pdf', 'CL0297_2_doc.pdf']"
CL0298,C139,Personal Injury,42011.38,2023-06-01,Rejected,30,98,False,['CL0298_1_doc.pdf']
CL0299,C141,Debt Collection,11331.62,2023-12-26,Rejected,36,19,False,['CL0299_1_doc.pdf']
CL0300,C141,Employment Dispute,18651.99,2024-05-08,Pending,59,3,False,[]
CL0301,C141,Medical Malpractice,24578.66,2024-04-24,Approved,84,77,False,[]
CL0302,C141,Motor Vehicle Accident,26619.72,2023-12-25,Rejected,12,17,False,['CL0302_1_doc.pdf']
CL0303,C142,Commercial Dispute,47038.22,2023-09-16,Rejected,65,2,False,[]
CL0304,C142,Motor Vehicle Accident,10213.86,2023-10-07,Pending,86,91,False,[]
CL0305,C142,Employment Dispute,24540.49,2024-03-28,Approved,34,3,False,"['CL0305_1_doc.pdf', 'CL0305_2_doc.pdf']"
CL0306,C142,Family Law,15992.97,2023-10-28,Rejected,59,93,False,['CL0306_1_doc.pdf']
CL0307,C143,Debt Collection,33391.36,2023-06-02,Pending,9,94,False,['CL0307_1_doc.pdf']
CL0308,C144,Debt Collection,303.1,2023-10-24,Rejected,6,62,False,"['CL0308_1_doc.pdf', 'CL0308_2_doc.pdf', 'CL0308_3_doc.pdf']"
CL0309,C144,Commercial Dispute,2960.44,2023-08-15,Approved,6,86,False,[]
CL0310,C144,Debt Collection,25160.57,2023-12-25,Pending,81,21,False,"['CL0310_1_doc.pdf', 'CL0310_2_doc.pdf']"
CL0311,C144,Property Damage,5112.3,2024-01-03,Approved,53,86,False,"['CL0311_1_doc.pdf', 'CL0311_2_doc.pdf', 'CL0311_3_doc.pdf']"
CL0312,C145,Family Law,32567.78,2024-04-28,Pending,11,10,False,[]
CL0313,C145,Motor Vehicle Accident,1358.73,2023-07-19,Approved,75,86,True,[]
CL0314,C146,Medical Malpractice,13662.43,2023-11-13,Pending,28,78,False,"['CL0314_1_doc.pdf', 'CL0314_2_doc.pdf']"
CL0315,C146,Personal Injury,10250.09,2023-08-29,Approved,21,75,True,['CL0315_1_doc.pdf']
CL0316,C146,Personal Injury,31078.21,2024-01-27,Approved,63,15,False,[]
CL0317,C147,Personal Injury,40232.05,2023-09-22,Pending,59,30,False,"['CL0317_1_doc.pdf', 'CL0317_2_doc.pdf']"
CL0318,C147,Debt Collection,9074.19,2024-01-15,Approved,42,88,False,"['CL0318_1_doc.pdf', 'CL0318_2_doc.pdf', 'CL0318_3_doc.pdf']"
CL0319,C147,Family Law,23171.41,2024-05-07,Approved,61,34,False,"['CL0319_1_doc.pdf', 'CL0319_2_doc.pdf', 'CL0319_3_doc.pdf']"
CL0320,C147,Debt Collection,11371.67,2023-08-01,Rejected,48,15,False,[]
CL0321,C149,Commercial Dispute,33769.47,2023-11-05,Rejected,98,49,True,['CL0321_1_doc.pdf']
CL0322,C149,Employment Dispute,47782.27,2024-01-30,Pending,98,79,False,"['CL0322_1_doc.pdf', 'CL0322_2_doc.pdf', 'CL0322_3_doc.pdf']"
CL0323,C149,Commercial Dispute,15566.99,2024-04-07,Approved,51,67,False,[]
CL0324,C150,Medical Malpractice,22682.3,2023-08-11,Pending,77,30,False,"['CL0324_1_doc.pdf', 'CL0324_2_doc.pdf', 'CL0324_3_doc.pdf']"
CL0325,C150,Debt Collection,17170.96,2023-11-03,Approved,73,33,False,[]
CL0326,C150,Family Law,39004.01,2023-10-26,Approved,28,4,False,"['CL0326_1_doc.pdf', 'CL0326_2_doc.pdf']"
CL0327,C150,Family Law,37813.44,2024-05-03,Pending,3,15,False,[]
CL0328,C152,Medical Malpractice,43346.67,2023-10-31,Pending,73,78,False,"['CL0328_1_doc.pdf', 'CL0328_2_doc.pdf', 'CL0328_3_doc.pdf']"
CL0329,C153,Employment Dispute,34985.89,2023-12-07,Pending,98,52,False,[]
CL0330,C153,Employment Dispute,43297.03,2023-09-22,Pending,84,59,False,"['CL0330_1_doc.pdf', 'CL0330_2_doc.pdf', 'CL0330_3_doc.pdf']"
CL0331,C153,Family Law,24165.33,2023-06-26,Pending,7,42,False,[]
CL0332,C153,Employment Dispute,35494.82,2023-06-12,Pending,38,82,False,['CL0332_1_doc.pdf']
CL0333,C154,Personal Injury,43492.35,2024-04-30,Approved,0,68,False,[]
CL0334,C154,Family Law,10868.42,2023-12-29,Approved,98,72,False,['CL0334_1_doc.pdf']
CL0335,C154,Property Damage,42412.1,2024-01-18,Rejected,47,44,False,[]
CL0336,C154,Motor Vehicle Accident,32997.47,2023-09-28,Rejected,13,26,False,"['CL0336_1_doc.pdf', 'CL0336_2_doc.pdf', 'CL0336_3_doc.pdf']"
CL0337,C155,Commercial Dispute,47163.91,2023-11-02,Pending,98,95,False,"['CL0337_1_doc.pdf', 'CL0337_2_doc.pdf', 'CL0337_3_doc.pdf']"
CL0338,C155,Motor Vehicle Accident,6458.65,2024-04-08,Rejected,22,35,False,"['CL0338_1_doc.pdf', 'CL0338_2_doc.pdf', 'CL0338_3_doc.pdf']"
CL0339,C155,Medical Malpractice,33598.04,2024-03-24,Rejected,65,56,False,"['CL0339_1_doc.pdf', 'CL0339_2_doc.pdf']"
CL0340,C156,Motor Vehicle Accident,10724.31,2023-09-16,Pending,59,78,False,[]
CL0341,C156,Property Damage,38182.21,2023-07-09,Pending,6,86,False,['CL0341_1_doc.pdf']
CL0342,C157,Family Law,875.9,2023-07-06,Approved,78,58,False,"['CL0342_1_doc.pdf', 'CL0342_2_doc.pdf']"
CL0343,C157,Family Law,29155.23,2024-05-06,Approved,42,39,False,[]
CL0344,C157,Family Law,25913.64,2023-11-10,Approved,23,33,False,['CL0344_1_doc.pdf']
CL0345,C157,Motor Vehicle Accident,31105.03,2023-12-25,Approved,63,74,False,[]
CL0346,C158,Debt Collection,22383.41,2023-10-08,Pending,80,2,True,[]
CL0347,C158,Employment Dispute,28954.53,2024-04-01,Pending,79,86,False,[]
CL0348,C158,Employment Dispute,2321.2,2023-09-18,Pending,32,53,False,"['CL0348_1_doc.pdf', 'CL0348_2_doc.pdf']"
CL0349,C158,Medical Malpractice,45235.89,2024-04-29,Rejected,21,41,False,"['CL0349_1_doc.pdf', 'CL0349_2_doc.pdf']"
CL0350,C159,Personal Injury,21250.91,2024-04-21,Pending,28,88,False,"['CL0350_1_doc.pdf', 'CL0350_2_doc.pdf']"
CL0351,C159,Personal Injury,41769.51,2024-03-13,Pending,32,55,False,['CL0351_1_doc.pdf']
CL0352,C159,Personal Injury,31473.74,2023-10-07,Pending,87,72,False,"['CL0352_1_doc.pdf', 'CL0352_2_doc.pdf']"
CL0353,C160,Employment Dispute,20626.68,2023-09-17,Pending,21,56,False,[]
CL0354,C160,Commercial Dispute,25945.98,2023-07-25,Pending,58,33,False,[]
CL0355,C160,Motor Vehicle Accident,39653.46,2023-10-30,Pending,83,49,False,['CL0355_1_doc.pdf']
CL0356,C160,Family Law,6345.75,2024-02-08,Pending,12,6,False,['CL0356_1_doc.pdf']
CL0357,C161,Medical Malpractice,13968.94,2024-02-05,Pending,89,76,False,['CL0357_1_doc.pdf']
CL0358,C163,Property Damage,39409.02,2023-11-14,Approved,50,71,True,"['CL0358_1_doc.pdf', 'CL0358_2_doc.pdf']"
CL0359,C163,Family Law,11142.67,2023-11-21,Approved,31,49,True,"['CL0359_1_doc.pdf', 'CL0359_2_doc.pdf']"
CL0360,C164,Employment Dispute,36280.88,2024-03-23,Pending,99,100,False,[]
CL0361,C164,Medical Malpractice,39163.39,2024-04-16,Pending,73,10,False,[]
CL0362,C164,Property Damage,15105.52,2023-08-01,Rejected,90,17,False,"['CL0362_1_doc.pdf', 'CL0362_2_doc.pdf', 'CL0362_3_doc.pdf']"
CL0363,C164,Employment Dispute,2880.69,2023-06-17,Pending,95,67,False,"['CL0363_1_doc.pdf', 'CL0363_2_doc.pdf', 'CL0363_3_doc.pdf']"
CL0364,C165,Family Law,48268.58,2023-10-11,Rejected,12,97,False,[]
CL0365,C165,Family Law,27621.8,2023-10-04,Approved,73,3,False,"['CL0365_1_doc.pdf', 'CL0365_2_doc.pdf']"
CL0366,C165,Property Damage,26800.16,2024-05-05,Approved,7,19,False,[]
CL0367,C165,Commercial Dispute,48764.69,2023-09-24,Rejected,34,29,False,"['CL0367_1_doc.pdf', 'CL0367_2_doc.pdf', 'CL0367_3_doc.pdf']"
CL0368,C166,Medical Malpractice,33142.78,2024-03-03,Rejected,15,66,False,"['CL0368_1_doc.pdf', 'CL0368_2_doc.pdf', 'CL0368_3_doc.pdf']"
CL0369,C166,Property Damage,10498.5,2024-01-24,Approved,78,60,False,"['CL0369_1_doc.pdf', 'CL0369_2_doc.pdf', 'CL0369_3_doc.pdf']"
CL0370,C166,Debt Collection,33583.9,2023-06-29,Rejected,93,41,True,['CL0370_1_doc.pdf']
CL0371,C166,Employment Dispute,34411.48,2023-07-18,Rejected,13,0,False,['CL0371_1_doc.pdf']
CL0372,C167,Medical Malpractice,12243.76,2023-06-05,Rejected,10,61,True,['CL0372_1_doc.pdf']
CL0373,C167,Property Damage,39764.5,2024-05-19,Rejected,51,68,False,"['CL0373_1_doc.pdf', 'CL0373_2_doc.pdf']"
CL0374,C169,Medical Malpractice,14006.6,2023-06-17,Approved,8,11,False,[]
CL0375,C169,Property Damage,48429.69,2023-08-18,Pending,96,78,False,[]
CL0376,C169,Employment Dispute,11661.95,2023-08-23,Pending,28,44,True,"['CL0376_1_doc.pdf', 'CL0376_2_doc.pdf']"
CL0377,C170,Family Law,42847.22,2024-05-06,Rejected,65,59,False,"['CL0377_1_doc.pdf', 'CL0377_2_doc.pdf', 'CL0377_3_doc.pdf']"
CL0378,C170,Personal Injury,41063.95,2023-07-02,Approved,36,92,False,[]
CL0379,C170,Commercial Dispute,28783.76,2023-09-07,Approved,86,93,True,"['CL0379_1_doc.pdf', 'CL0379_2_doc.pdf']"
CL0380,C170,Employment Dispute,29185.81,2023-06-06,Rejected,38,44,False,"['CL0380_1_doc.pdf', 'CL0380_2_doc.pdf']"
CL0381,C171,Motor Vehicle Accident,9084.46,2024-02-24,Rejected,46,69,False,[]
CL0382,C171,Family Law,27867.77,2024-02-29,Approved,100,82,True,"['CL0382_1_doc.pdf', 'CL0382_2_doc.pdf']"
CL0383,C172,Property Damage,9090.03,2023-09-27,Rejected,91,79,False,[]
CL0384,C172,Medical Malpractice,1766.64,2024-05-28,Pending,53,60,False,[]
CL0385,C172,Medical Malpractice,36369.65,2023-06-07,Approved,64,35,False,[]
CL0386,C173,Commercial Dispute,26183.35,2023-12-06,Approved,4,44,False,['CL0386_1_doc.pdf']
CL0387,C173,Motor Vehicle Accident,9409.07,2023-07-19,Approved,67,95,True,[]
CL0388,C174,Motor Vehicle Accident,46852.84,2024-05-11,Approved,56,23,False,['CL0388_1_doc.pdf']
CL0389,C175,Medical Malpractice,14531.44,2023-10-31,Pending,36,75,False,[]
CL0390,C176,Debt Collection,11315.69,2024-03-19,Rejected,10,48,False,[]
CL0391,C176,Medical Malpractice,34833.92,2023-07-13,Pending,65,75,False,[]
CL0392,C177,Family Law,12390.29,2024-03-18,Rejected,84,43,False,"['CL0392_1_doc.pdf', 'CL0392_2_doc.pdf', 'CL0392_3_doc.pdf']"
CL0393,C177,Personal Injury,49538.7,2024-02-19,Rejected,78,69,False,[]
CL0394,C177,Family Law,44252.07,2023-07-21,Approved,73,75,False,['CL0394_1_doc.pdf']
CL0395,C177,Commercial Dispute,7148.85,2023-11-26,Approved,75,96,False,"['CL0395_1_doc.pdf', 'CL0395_2_doc.pdf', 'CL0395_3_doc.pdf']"
CL0396,C179,Medical Malpractice,10362.74,2023-07-04,Rejected,5,99,False,"['CL0396_1_doc.pdf', 'CL0396_2_doc.pdf']"
CL0397,C179,Family Law,35217.29,2023-09-29,Approved,54,23,False,"['CL0397_1_doc.pdf', 'CL0397_2_doc.pdf']"
CL0398,C180,Property Damage,35651.58,2023-07-21,Pending,29,63,False,"['CL0398_1_doc.pdf', 'CL0398_2_doc.pdf', 'CL0398_3_doc.pdf']"
CL0399,C180,Employment Dispute,15070.04,2023-11-06,Rejected,22,49,False,['CL0399_1_doc.pdf']
CL0400,C180,Motor Vehicle Accident,30194.72,2023-12-15,Rejected,54,64,False,[]
CL0401,C181,Property Damage,22996.99,2023-10-09,Rejected,62,30,False,[]
CL0402,C181,Debt Collection,4374.45,2024-04-08,Approved,33,30,False,"['CL0402_1_doc.pdf', 'CL0402_2_doc.pdf']"
CL0403,C181,Property Damage,47466.7,2024-01-20,Rejected,45,72,False,['CL0403_1_doc.pdf']
CL0404,C182,Medical Malpractice,46898.24,2023-06-01,Approved,69,94,False,"['CL0404_1_doc.pdf', 'CL0404_2_doc.pdf', 'CL0404_3_doc.pdf']"
CL0405,C182,Debt Collection,11299.97,2023-10-22,Pending,99,66,False,[]
CL0406,C182,Medical Malpractice,46591.59,2023-10-16,Rejected,66,43,False,['CL0406_1_doc.pdf']
CL0407,C182,Debt Collection,16882.15,2023-09-14,Approved,55,26,False,['CL0407_1_doc.pdf']
CL0408,C183,Personal Injury,35438.77,2023-06-25,Rejected,82,94,False,[]
CL0409,C183,Personal Injury,48382.82,2024-02-14,Pending,57,70,False,"['CL0409_1_doc.pdf', 'CL0409_2_doc.pdf', 'CL0409_3_doc.pdf']"
CL0410,C183,Medical Malpractice,33529.95,2023-12-04,Rejected,35,27,False,[]
CL0411,C183,Personal Injury,15284.89,2023-12-27,Approved,89,57,True,[]
CL0412,C185,Motor Vehicle Accident,36340.04,2024-02-29,Approved,84,75,False,['CL0412_1_doc.pdf']
CL0413,C185,Family Law,29378.89,2024-04-24,Pending,77,38,False,[]
CL0414,C185,Commercial Dispute,10819.1,2023-10-14,Pending,76,44,True,"['CL0414_1_doc.pdf', 'CL0414_2_doc.pdf']"
CL0415,C186,Medical Malpractice,43414.47,2024-01-30,Pending,93,94,False,[]
CL0416,C186,Medical Malpractice,23033.68,2023-10-16,Pending,94,69,False,[]
CL0417,C186,Debt Collection,11609.06,2023-11-03,Approved,49,34,False,[]
CL0418,C186,Employment Dispute,34014.84,2023-08-15,Approved,89,66,False,"['CL0418_1_doc.pdf', 'CL0418_2_doc.pdf', 'CL0418_3_doc.pdf']"
CL0419,C187,Medical Malpractice,28717.08,2023-11-07,Pending,98,47,False,"['CL0419_1_doc.pdf', 'CL0419_2_doc.pdf', 'CL0419_3_doc.pdf']"
CL0420,C187,Property Damage,5731.1,2023-08-31,Approved,58,68,False,[]
CL0421,C187,Property Damage,7434.6,2024-04-15,Pending,58,61,False,"['CL0421_1_doc.pdf', 'CL0421_2_doc.pdf', 'CL0421_3_doc.pdf']"
CL0422,C188,Motor Vehicle Accident,10851.15,2024-02-08,Approved,27,86,False,['CL0422_1_doc.pdf']
CL0423,C188,Debt Collection,15972.99,2024-05-19,Rejected,7,46,False,[]
CL0424,C188,Personal Injury,43115.95,2023-08-13,Rejected,49,43,False,[]
CL0425,C188,Medical Malpractice,15094.99,2023-07-01,Approved,52,92,False,['CL0425_1_doc.pdf']
CL0426,C189,Commercial Dispute,26445.19,2024-03-26,Pending,13,2,False,"['CL0426_1_doc.pdf', 'CL0426_2_doc.pdf']"
CL0427,C189,Personal Injury,1905.7,2023-08-10,Rejected,92,66,True,"['CL0427_1_doc.pdf', 'CL0427_2_doc.pdf']"
CL0428,C189,Personal Injury,34130.17,2023-06-26,Pending,68,5,False,[]
CL0429,C190,Family Law,8017.8,2023-08-18,Approved,70,12,False,[]
CL0430,C190,Family Law,27460.65,2024-03-27,Rejected,3,8,False,[]
CL0431,C190,Property Damage,37107.31,2024-05-18,Rejected,50,6,False,"['CL0431_1_doc.pdf', 'CL0431_2_doc.pdf', 'CL0431_3_doc.pdf']"
CL0432,C190,Family Law,9270.71,2023-08-29,Pending,79,43,False,[]
CL0433,C191,Motor Vehicle Accident,30614.18,2023-06-22,Pending,0,74,False,[]
CL0434,C191,Personal Injury,29261.16,2024-05-27,Pending,81,63,False,['CL0434_1_doc.pdf']
CL0435,C192,Motor Vehicle Accident,22060.76,2023-11-17,Rejected,87,31,False,['CL0435_1_doc.pdf']
CL0436,C192,Employment Dispute,5673.27,2024-04-02,Pending,83,74,False,[]
CL0437,C192,Property Damage,35936.05,2024-04-04,Pending,92,9,False,"['CL0437_1_doc.pdf', 'CL0437_2_doc.pdf', 'CL0437_3_doc.pdf']"
CL0438,C192,Personal Injury,47426.42,2023-11-25,Rejected,86,67,False,[]
CL0439,C194,Commercial Dispute,17695.57,2024-05-19,Rejected,36,52,False,"['CL0439_1_doc.pdf', 'CL0439_2_doc.pdf', 'CL0439_3_doc.pdf']"
CL0440,C194,Motor Vehicle Accident,36596.51,2024-01-18,Rejected,80,57,False,['CL0440_1_doc.pdf']
CL0441,C194,Debt Collection,4695.21,2024-01-09,Pending,60,84,False,"['CL0441_1_doc.pdf', 'CL0441_2_doc.pdf']"
CL0442,C195,Family Law,8958.44,2023-07-09,Approved,61,24,False,['CL0442_1_doc.pdf']
CL0443,C195,Property Damage,36211.84,2024-01-08,Approved,22,45,False,"['CL0443_1_doc.pdf', 'CL0443_2_doc.pdf']"
CL0444,C195,Family Law,44503.45,2023-07-29,Approved,60,96,False,"['CL0444_1_doc.pdf', 'CL0444_2_doc.pdf']"
CL0445,C195,Employment Dispute,9911.78,2023-06-14,Rejected,97,40,False,['CL0445_1_doc.pdf']
CL0446,C196,Debt Collection,10574.0,2024-04-20,Pending,75,14,False,"['CL0446_1_doc.pdf', 'CL0446_2_doc.pdf']"
CL0447,C196,Employment Dispute,11804.97,2023-11-10,Pending,58,76,False,['CL0447_1_doc.pdf']
CL0448,C196,Personal Injury,28603.76,2024-03-23,Pending,28,46,False,"['CL0448_1_doc.pdf', 'CL0448_2_doc.pdf']"
CL0449,C197,Debt Collection,31201.56,2023-12-25,Approved,65,87,False,"['CL0449_1_doc.pdf', 'CL0449_2_doc.pdf', 'CL0449_3_doc.pdf']"
CL0450,C197,Employment Dispute,38061.22,2023-11-20,Rejected,94,69,False,['CL0450_1_doc.pdf']
CL0451,C197,Debt Collection,42945.36,2024-04-04,Pending,4,79,False,[]
CL0452,C198,Debt Collection,44221.89,2024-02-25,Rejected,9,0,False,[]
CL0453,C198,Medical Malpractice,8132.97,2023-06-09,Pending,70,97,False,[]
CL0454,C199,Property Damage,41190.08,2024-05-05,Approved,94,51,False,"['CL0454_1_doc.pdf', 'CL0454_2_doc.pdf']"
CL0455,C199,Motor Vehicle Accident,48407.92,2023-10-22,Pending,90,1,False,[]
